"ID";"RegioS";"Perioden";"AantalPersonen_1";"GemiddeldBesteedbaarInkomen_2";"RangnummerBesteedbaarInkomen_3";"GemiddeldGestandaardiseerdInkomen_4";"RangnummerGestandaardiseerdInkomen_5";"AantalPersonen_6";"InVanPersonenMetEnZonderInkomen_7";"GemiddeldPersoonlijkInkomen_8";"RangnummerPersoonlijkInkomen_9";"GemiddeldBesteedbaarInkomen_10";"RangnummerBesteedbaarInkomen_11"
"92";"PV22  ";"2009XX00";"   491.0";"    14.0";"       8";"    22.8";"       9";"   355.9";"      72";"    27.2";"       8";"    19.0";"       8"
"93";"PV22  ";"2009JJ00";"   491.0";"    14.0";"       8";"    22.8";"       9";"   356.1";"      73";"    27.2";"       8";"    19.1";"       8"
"94";"PV22  ";"2010JJ00";"   491.4";"    14.0";"       8";"    22.9";"       9";"   357.1";"      73";"    27.5";"       8";"    19.0";"       8"
"95";"PV22  ";"2011JJ00";"   490.8";"    14.1";"       8";"    23.0";"       9";"   359.3";"      73";"    27.9";"       8";"    19.1";"       8"
"96";"PV22  ";"2012JJ00";"   489.9";"    14.3";"       8";"    23.3";"       9";"   359.9";"      73";"    28.1";"       8";"    19.3";"       9"
"97";"PV22  ";"2013JJ00";"   489.0";"       .";"       .";"    23.4";"       9";"   359.1";"      73";"    28.5";"       8";"       .";"       ."
"98";"PV22  ";"2014JJ00";"   488.6";"       .";"       .";"    24.4";"       9";"   358.3";"      73";"    29.1";"       8";"       .";"       ."
"99";"PV23  ";"2005JJ00";"  1113.5";"    11.7";"       9";"    19.6";"       9";"   739.9";"      66";"    23.8";"      10";"    16.9";"       9"
"100";"PV23  ";"2006JJ00";"  1116.4";"    12.3";"      10";"    20.6";"      10";"   775.5";"      69";"    24.4";"      10";"    17.4";"      10"
"101";"PV23  ";"2007JJ00";"  1120.0";"    13.2";"      10";"    22.1";"       9";"   782.5";"      70";"    25.4";"       9";"    18.5";"       9"
"102";"PV23  ";"2008JJ00";"  1125.4";"    13.6";"      10";"    22.7";"      10";"   801.6";"      71";"    26.3";"       9";"    18.8";"       9"
"103";"PV23  ";"2009XX00";"  1130.3";"    13.6";"      10";"    22.7";"      10";"   807.1";"      71";"    26.9";"       9";"    18.8";"      10"
"104";"PV23  ";"2009JJ00";"  1130.3";"    13.6";"      10";"    22.7";"      10";"   807.1";"      71";"    26.8";"      10";"    18.8";"      10"
"105";"PV23  ";"2010JJ00";"  1134.5";"    13.7";"      10";"    22.7";"      10";"   811.2";"      72";"    27.2";"      10";"    18.9";"      10"
"106";"PV23  ";"2011JJ00";"  1137.7";"    13.8";"      10";"    22.9";"      10";"   818.6";"      72";"    27.6";"      10";"    18.9";"      10"
"107";"PV23  ";"2012JJ00";"  1139.4";"    13.9";"       9";"    23.1";"      10";"   819.6";"      72";"    27.9";"      10";"    19.1";"      10"
"108";"PV23  ";"2013JJ00";"  1139.7";"       .";"       .";"    23.3";"      10";"   819.1";"      72";"    28.3";"      10";"       .";"       ."
"109";"PV23  ";"2014JJ00";"  1140.7";"       .";"       .";"    24.3";"      10";"   816.1";"      72";"    28.8";"      10";"       .";"       ."
"110";"PV24  ";"2005JJ00";"   370.7";"    11.6";"      10";"    19.7";"       8";"   231.6";"      62";"    26.4";"       4";"    17.7";"       5"
"111";"PV24  ";"2006JJ00";"   374.4";"    12.3";"       9";"    21.0";"       7";"   246.7";"      66";"    27.1";"       4";"    18.3";"       5"
"112";"PV24  ";"2007JJ00";"   378.7";"    13.3";"       9";"    22.6";"       7";"   251.5";"      66";"    28.5";"       4";"    19.6";"       5"
"113";"PV24  ";"2008JJ00";"   383.4";"    13.6";"       9";"    23.2";"       7";"   259.0";"      68";"    29.5";"       4";"    19.8";"       5"
"114";"PV24  ";"2009XX00";"   387.9";"    13.7";"       9";"    23.2";"       7";"   262.6";"      68";"    30.0";"       4";"    20.0";"       5"
"115";"PV24  ";"2009JJ00";"   387.9";"    13.7";"       9";"    23.1";"       7";"   261.8";"      68";"    29.8";"       4";"    19.9";"       5"
"116";"PV24  ";"2010JJ00";"   392.0";"    13.7";"       9";"    23.3";"       7";"   265.1";"      68";"    30.2";"       4";"    20.0";"       5"
"117";"PV24  ";"2011JJ00";"   395.5";"    13.9";"       9";"    23.4";"       7";"   268.9";"      68";"    30.6";"       4";"    20.1";"       5"
"118";"PV24  ";"2012JJ00";"   398.4";"    13.9";"      10";"    23.3";"       8";"   270.2";"      68";"    30.7";"       4";"    20.1";"       5"
"119";"PV24  ";"2013JJ00";"   399.9";"       .";"       .";"    23.6";"       7";"   271.0";"      68";"    31.2";"       4";"       .";"       ."
"120";"PV24  ";"2014JJ00";"   401.8";"       .";"       .";"    24.5";"       7";"   270.8";"      67";"    31.8";"       4";"       .";"       ."
"121";"PV25  ";"2005JJ00";"  1975.7";"    12.3";"       6";"    20.5";"       5";"  1326.6";"      67";"    25.3";"       6";"    17.7";"       6"
"122";"PV25  ";"2006JJ00";"  1979.1";"    13.0";"       6";"    21.6";"       5";"  1381.0";"      70";"    26.0";"       6";"    18.2";"       6"
"123";"PV25  ";"2007JJ00";"  1983.9";"    14.0";"       6";"    23.2";"       5";"  1394.2";"      70";"    27.2";"       6";"    19.5";"       6"
"124";"PV25  ";"2008JJ00";"  1991.1";"    14.3";"       6";"    23.8";"       5";"  1423.6";"      72";"    28.1";"       6";"    19.7";"       6"
"125";"PV25  ";"2009XX00";"  1998.9";"    14.4";"       6";"    23.8";"       5";"  1434.6";"      72";"    28.6";"       6";"    19.8";"       6"
"126";"PV25  ";"2009JJ00";"  1999.0";"    14.4";"       6";"    23.8";"       5";"  1434.8";"      72";"    28.6";"       6";"    19.8";"       6"
"127";"PV25  ";"2010JJ00";"  2004.7";"    14.4";"       6";"    23.9";"       5";"  1443.2";"      72";"    28.9";"       6";"    19.8";"       6"
"128";"PV25  ";"2011JJ00";"  2010.7";"    14.5";"       7";"    23.9";"       5";"  1455.4";"      72";"    29.3";"       6";"    19.8";"       6"
"129";"PV25  ";"2012JJ00";"  2015.8";"    14.7";"       6";"    24.1";"       5";"  1460.3";"      72";"    29.6";"       6";"    20.0";"       7"
"130";"PV25  ";"2013JJ00";"  2019.7";"       .";"       .";"    24.2";"       6";"  1460.9";"      72";"    30.0";"       6";"       .";"       ."
"131";"PV25  ";"2014JJ00";"  2026.6";"       .";"       .";"    25.3";"       5";"  1462.2";"      72";"    30.5";"       6";"       .";"       ."
"132";"PV26  ";"2005JJ00";"  1180.0";"    13.6";"       1";"    22.3";"       1";"   792.0";"      67";"    28.9";"       1";"    19.5";"       1"
